exact_fingerprint	schema_version	source_path	source_kind	severity	code	message_normalized	span
9024e19a00a10c44a3fafe3307e2529f915f000e71fa4fa5d549688b85657375	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/Types.fs	legacy_text	error	FS0010	Unexpected keyword 'member' in definition. Expected incomplete structured construct at or before thi	95:5
8589c1e796cdf9fcb14f40121cb1c1f89693cb36213d7b25b8ff78906edb38d3	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/SurfaceInventory.fs	legacy_text	error	FS1156	This is not a valid numeric literal. Valid numeric literals include 1, 0x1, 0o1, 0b1, 1l (int/int32)	191:35
1f0ac5f2559f8d00f46df77066d05532e20d8f401ce26407cb38d7c7ca737952	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/SurfaceInventory.fs	legacy_text	error	FS0010	Unexpected character '/' in expression. Expected identifier or other token. [<REPO>/tools/Circus.Too	191:34
ee07ecd7066ff665c565fefc50fa35ba12bbb75928aea90816aca0c8e4de3eb0	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/SurfaceInventory.fs	legacy_text	error	FS0603	Unmatched '[|' [<REPO>/tools/Circus.Tooling/Circus.Tooling.fsproj]	191:30
70fef0a328669ae057a09dd3d0e17418e4ae2e9821002328e45af6119f462dd6	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS0010	Unexpected identifier in binding. Expected incomplete structured construct at or before this point o	392:37
b26373aa3d277b52cdef82216c79e80fcac9c9ac2c70feb8a2cc3444e942376d	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS3118	Incomplete value or function definition. If this is in an expression, the body of the expression mus	391:33
58839ec7207dea444f059ae9c4f7499e37f59a0a96e66d851e62583478411e53	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS0010	Incomplete structured construct at or before this point in expression. Expected incomplete structure	393:33
a961d7cf82c02a983b7232a0da6addd5795515ce5359be2787ccb8f3b6ccad36	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS0010	Incomplete structured construct at or before this point in expression. Expected 'finally', 'with' or	395:9
9024e19a00a10c44a3fafe3307e2529f915f000e71fa4fa5d549688b85657375	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/Types.fs	legacy_text	error	FS0010	Unexpected keyword 'member' in definition. Expected incomplete structured construct at or before thi	95:5
8589c1e796cdf9fcb14f40121cb1c1f89693cb36213d7b25b8ff78906edb38d3	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/SurfaceInventory.fs	legacy_text	error	FS1156	This is not a valid numeric literal. Valid numeric literals include 1, 0x1, 0o1, 0b1, 1l (int/int32)	191:35
1f0ac5f2559f8d00f46df77066d05532e20d8f401ce26407cb38d7c7ca737952	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/SurfaceInventory.fs	legacy_text	error	FS0010	Unexpected character '/' in expression. Expected identifier or other token. [<REPO>/tools/Circus.Too	191:34
ee07ecd7066ff665c565fefc50fa35ba12bbb75928aea90816aca0c8e4de3eb0	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/SurfaceInventory.fs	legacy_text	error	FS0603	Unmatched '[|' [<REPO>/tools/Circus.Tooling/Circus.Tooling.fsproj]	191:30
70fef0a328669ae057a09dd3d0e17418e4ae2e9821002328e45af6119f462dd6	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS0010	Unexpected identifier in binding. Expected incomplete structured construct at or before this point o	392:37
b26373aa3d277b52cdef82216c79e80fcac9c9ac2c70feb8a2cc3444e942376d	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS3118	Incomplete value or function definition. If this is in an expression, the body of the expression mus	391:33
58839ec7207dea444f059ae9c4f7499e37f59a0a96e66d851e62583478411e53	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS0010	Incomplete structured construct at or before this point in expression. Expected incomplete structure	393:33
a961d7cf82c02a983b7232a0da6addd5795515ce5359be2787ccb8f3b6ccad36	diagnostic-occurrence-v1	<REPO>/tools/Circus.Tooling/NoForcePush/GitHubRules.fs	legacy_text	error	FS0010	Incomplete structured construct at or before this point in expression. Expected 'finally', 'with' or	395:9
